date,area,rooms,floor,total_floors,year_built,orientation,district,subdistrict,community,price_per_sqm,total_price,dist_metro_m,school_rank,lat,lon,neigh_price,source
2015-01-01,90.3,2,20,21,2008,东南,海淀区,shoujingmao,上地西里,67159,6065076,108,0,39.966570289522416,116.30828905290254,65170,realistic_mock
2015-01-06,107.5,2,24,25,2008,南北,海淀区,shangdi,上地东里,64946,6978887,368,0,39.97622653669519,116.26870812821734,61152,realistic_mock
2015-01-11,43.0,3,5,21,2020,南北,海淀区,shangdi,世纪城,54569,2348930,333,0,39.9335571626512,116.30508459373613,57312,realistic_mock
2015-01-12,104.1,3,18,25,2002,北,海淀区,shangdi,观山园,65383,6808047,612,0,39.93947652788582,116.29326955609284,67007,realistic_mock
2015-01-12,91.5,2,21,31,1998,南,海淀区,haidian,万城华府,60339,5519758,299,0,39.93476417952788,116.27860172850247,65451,realistic_mock
2015-01-13,40.0,4,20,21,2002,东南,海淀区,wudaokou,上地西里,64351,2574072,127,0,39.95758696209369,116.29967605949112,65885,realistic_mock
2015-01-17,85.4,3,9,31,2018,南北,海淀区,shoujingmao,万柳书院,63577,5430235,121,0,39.95870188007312,116.30091434457492,69430,realistic_mock
2015-01-17,74.4,1,11,23,2020,东西,海淀区,shangdi,郦城,66520,4948563,1386,0,39.95902874391669,116.29054889198497,73695,realistic_mock
2015-01-19,72.9,3,18,21,1998,南北,海淀区,haidian,涧桥泊屋,63674,4639953,100,0,39.932324084508686,116.2728864624848,60879,realistic_mock
2015-01-19,78.0,2,2,17,2020,东西,海淀区,shoujingmao,万柳书院,51754,4037078,458,0,39.94696891791113,116.26450027355835,53704,realistic_mock
2015-01-21,40.0,3,12,16,2012,东南,海淀区,shangdi,世纪城,57391,2295677,1047,0,39.923616043417375,116.30606616160833,59352,realistic_mock
2015-01-22,55.5,3,27,28,2012,西南,海淀区,wudaokou,万城华府,52619,2918066,100,0,39.975465805507056,116.29573912570164,47715,realistic_mock
2015-01-23,89.4,2,4,9,2015,东西,海淀区,shangdi,紫金庄园,67215,6005936,205,0,39.945790744622386,116.25889066381977,67903,realistic_mock
2015-01-28,112.1,1,17,30,1998,北,海淀区,xierqi,万柳书院,51555,5780273,593,0,39.9278524196431,116.30818926270472,57359,realistic_mock
2015-01-29,116.6,4,3,12,2015,南,海淀区,haidian,世纪城,65452,7634157,395,0,39.97242062685118,116.30904500815195,53029,realistic_mock
2015-01-29,75.3,3,20,21,2018,南北,海淀区,haidian,当代城市家园,62061,4675456,156,0,39.94931859142428,116.29622444506848,59285,realistic_mock
2015-01-29,84.1,2,17,18,2018,南,海淀区,shoujingmao,世纪城,69605,5855108,492,0,39.94612793150432,116.26501477951578,70750,realistic_mock
2015-01-31,73.6,4,2,22,2002,北,海淀区,wudaokou,橡树湾,55821,4110451,100,0,39.97021545979456,116.25165790997136,46545,realistic_mock
2015-02-05,96.1,2,12,13,2002,南北,海淀区,wudaokou,世纪城,72516,6971103,100,0,39.95298018014022,116.2780194872341,77091,realistic_mock
2015-02-07,88.1,2,27,28,2012,南,海淀区,shangdi,涧桥泊屋,60504,5328659,173,0,39.94166597843759,116.30113285240338,69194,realistic_mock
2015-02-08,97.9,2,9,21,2005,东南,海淀区,wudaokou,上地东里,64801,6341614,282,0,39.92899826356781,116.2697816932023,70970,realistic_mock
2015-02-09,89.2,3,10,14,2018,北,海淀区,zhongguancun,曙光花园,69453,6197092,116,0,39.920304928389086,116.29174285757098,74327,realistic_mock
2015-02-10,118.8,3,21,22,2008,南,海淀区,xierqi,华清嘉园,69344,8237145,708,0,39.93238527630564,116.2506597497195,72932,realistic_mock
2015-02-13,117.8,4,4,28,2018,南,海淀区,wudaokou,橡树湾,60565,7134709,145,0,39.949686610608424,116.26119130978601,61320,realistic_mock
2015-02-15,78.1,4,9,20,2005,东南,海淀区,xierqi,万柳书院,65524,5117720,100,0,39.957273591828816,116.25288473810919,63818,realistic_mock
2015-02-19,57.9,3,13,30,2008,东南,海淀区,shoujingmao,美丽园,58089,3361066,100,0,39.93266948224592,116.28012789845518,56366,realistic_mock
2015-02-20,55.1,2,3,14,2005,东西,海淀区,shoujingmao,世纪城,49971,2753430,448,0,39.94408382697876,116.28369147592639,51196,realistic_mock
2015-02-21,40.7,2,23,24,2012,北,海淀区,xierqi,橡树湾,70965,2887027,427,0,39.97291128804925,116.27911684302661,75088,realistic_mock
2015-02-24,75.1,2,2,7,2012,东西,海淀区,zhongguancun,上地西里,70519,5293608,265,0,39.93074983509741,116.30346840550762,79586,realistic_mock
2015-02-25,108.1,4,12,23,2008,东西,海淀区,shangdi,上地西里,82499,8917139,100,0,39.94845319682984,116.30320532436521,88097,realistic_mock
2015-02-26,57.7,2,19,29,2020,南北,海淀区,zhongguancun,万柳书院,60090,3467474,472,0,39.96975964760373,116.25206962973212,68665,realistic_mock
2015-02-27,58.6,2,3,6,1998,南,海淀区,xierqi,当代城市家园,63864,3739732,1238,0,39.96237369019748,116.30963471929391,61144,realistic_mock
2015-03-01,93.4,1,6,17,2008,北,海淀区,haidian,涧桥泊屋,58224,5436432,240,0,39.95039322895289,116.25195930207565,61269,realistic_mock
2015-03-04,70.1,3,4,23,2018,东南,海淀区,shoujingmao,涧桥泊屋,63537,4452820,642,0,39.9503324689864,116.27263966645813,70572,realistic_mock
2015-03-04,80.9,2,18,20,2018,东南,海淀区,zhongguancun,华清嘉园,68401,5530365,100,0,39.94797536325461,116.29653389030805,66899,realistic_mock
2015-03-05,114.9,1,13,14,2005,南,海淀区,zhongguancun,博雅西园,65339,7504709,100,0,39.959888465514815,116.26717085224787,65119,realistic_mock
2015-03-05,78.2,4,17,18,2002,东南,海淀区,wudaokou,华清嘉园,63617,4972923,147,0,39.956441383008666,116.26110990272497,53239,realistic_mock
2015-03-06,107.3,1,8,9,2005,南,海淀区,shoujingmao,万柳书院,68709,7369247,100,0,39.95481313782143,116.3032864751407,77036,realistic_mock
2015-03-06,56.3,2,9,20,2012,南北,海淀区,shangdi,橡树湾,48679,2742284,220,0,39.943692891090535,116.26760929048308,53332,realistic_mock
2015-03-11,75.9,2,26,27,2015,东西,海淀区,wudaokou,紫金庄园,67741,5140486,100,0,39.942928651275196,116.30000013723031,72250,realistic_mock
2015-03-12,108.9,2,24,31,1998,南,海淀区,xierqi,万城华府,59467,6478503,578,0,39.96073386350467,116.29637920327833,64606,realistic_mock
2015-03-13,101.0,2,6,13,2018,东西,海淀区,shoujingmao,华清嘉园,58241,5885253,616,0,39.93516790664095,116.30633369760248,56717,realistic_mock
2015-03-13,95.5,3,23,26,2020,西南,海淀区,haidian,曙光花园,60374,5767064,100,0,39.92399431683815,116.2613243907419,55575,realistic_mock
2015-03-14,128.1,2,23,24,2005,东西,海淀区,wudaokou,涧桥泊屋,65396,8376667,100,0,39.97793105794118,116.28161778394953,69792,realistic_mock
2015-03-15,113.1,1,4,25,2002,南,海淀区,shangdi,万柳书院,53243,6024428,1734,0,39.97321594377903,116.27465059064886,62414,realistic_mock
2015-03-15,125.4,2,2,13,2008,南北,海淀区,shangdi,观山园,69688,8740354,100,0,39.97279432599847,116.2806427972167,66425,realistic_mock
2015-03-16,56.8,3,15,19,2008,北,海淀区,xierqi,曙光花园,65229,3705508,1200,0,39.9321761820545,116.28393299789529,68819,realistic_mock
2015-03-18,107.9,2,17,25,2008,北,海淀区,xierqi,观山园,66236,7149749,596,0,39.96438929806194,116.2822886058049,76754,realistic_mock
2015-03-19,79.2,2,5,24,2005,南,海淀区,zhongguancun,当代城市家园,63803,5052366,199,0,39.9689959663683,116.27634809451422,62173,realistic_mock
2015-03-21,134.3,2,12,13,2015,北,海淀区,shangdi,美丽园,80445,10801064,2092,0,39.97976401731169,116.30145667411954,83605,realistic_mock
2015-03-23,97.8,2,16,17,1998,东南,海淀区,haidian,紫金庄园,54432,5324141,674,0,39.94705317148791,116.2835191807158,56529,realistic_mock
2015-03-23,77.5,2,13,21,2018,南,海淀区,zhongguancun,上地西里,60929,4723557,253,0,39.96321937498872,116.28176614443248,63271,realistic_mock
2015-03-24,114.0,3,1,13,2002,南,海淀区,haidian,橡树湾,62042,7072730,1044,0,39.92378780961947,116.28766542463569,62106,realistic_mock
2015-03-24,88.3,4,22,23,1998,东西,海淀区,xierqi,世纪城,80944,7148659,731,0,39.97890792159564,116.28728066983521,85368,realistic_mock
2015-03-28,110.7,2,25,26,2018,西南,海淀区,shangdi,郦城,64818,7173353,156,0,39.94005292023561,116.25154454458483,68992,realistic_mock
2015-04-05,93.0,2,22,23,2008,南北,海淀区,wudaokou,万城华府,65391,6081786,100,0,39.95015396458781,116.27391978166634,68180,realistic_mock
2015-04-07,98.9,3,10,19,2008,西南,海淀区,wudaokou,橡树湾,71094,7030459,178,0,39.97632560762983,116.28203570642995,70478,realistic_mock
2015-04-11,112.2,4,12,13,2008,北,海淀区,shangdi,当代城市家园,65410,7336060,1180,0,39.933126302504654,116.26957323041886,66569,realistic_mock
2015-04-13,88.6,2,22,23,2005,东西,海淀区,shangdi,上地东里,58820,5213019,1619,0,39.930846195158054,116.28545920109809,64858,realistic_mock
2015-04-13,90.8,4,24,25,2002,西南,海淀区,shoujingmao,曙光花园,79517,7221882,474,0,39.963150315370534,116.28376212032227,81092,realistic_mock
2015-04-21,92.6,1,24,25,2002,南,海淀区,shangdi,当代城市家园,67946,6289795,157,0,39.93417481806291,116.30450295284227,71345,realistic_mock
2015-04-25,101.0,1,27,28,2020,西南,海淀区,shangdi,观山园,55887,5646473,100,0,39.936916213060506,116.2766159820791,56420,realistic_mock
2015-04-25,104.1,3,10,11,2020,南北,海淀区,shangdi,华清嘉园,75025,7811764,315,0,39.94156542960985,116.25488843386277,70638,realistic_mock
2015-04-26,117.4,3,7,22,2015,西南,海淀区,wudaokou,博雅西园,79784,9367556,100,0,39.95520374470488,116.30057643839264,70808,realistic_mock
2015-05-01,53.8,2,15,26,2018,南,海淀区,haidian,上地西里,62964,3386905,100,0,39.97196639367827,116.28516901944978,53155,realistic_mock
2015-05-02,40.0,1,16,23,2018,北,海淀区,haidian,世纪城,56604,2264166,154,0,39.929857210596346,116.29698968585542,58185,realistic_mock
2015-05-03,90.2,2,12,18,2012,北,海淀区,wudaokou,上地东里,61629,5557991,103,0,39.975333399089294,116.28555409096589,61821,realistic_mock
2015-05-06,109.4,3,22,23,2015,南,海淀区,xierqi,上地西里,75232,8227923,100,0,39.94517928469154,116.26129047876317,77506,realistic_mock
2015-05-06,90.1,1,6,19,2015,西南,海淀区,shangdi,万城华府,58560,5278874,100,0,39.96981707638175,116.26947600643678,67319,realistic_mock
2015-05-10,112.0,1,16,31,2018,西南,海淀区,shangdi,万城华府,74098,8295683,149,0,39.97073921133664,116.26557619702251,78078,realistic_mock
2015-05-12,94.0,1,24,28,2002,东南,海淀区,zhongguancun,世纪城,76422,7182354,1284,0,39.93513435314462,116.25426165948008,82277,realistic_mock
2015-05-13,89.3,2,21,25,2002,北,海淀区,haidian,当代城市家园,63003,5627408,1389,0,39.96640509265433,116.26460114964202,66789,realistic_mock
2015-05-13,115.0,3,20,21,2018,东南,海淀区,shangdi,当代城市家园,74497,8565931,106,0,39.97647554385066,116.28532767175082,72001,realistic_mock
2015-05-13,105.6,2,6,13,2008,东西,海淀区,haidian,郦城,66243,6995115,118,0,39.97691924485418,116.26018550989242,70354,realistic_mock
2015-05-15,45.7,1,4,27,2020,北,海淀区,haidian,曙光花园,51549,2353853,100,0,39.96586644368453,116.27458026320257,51466,realistic_mock
