date,area,rooms,floor,total_floors,year_built,orientation,district,subdistrict,community,price_per_sqm,total_price,dist_metro_m,school_rank,lat,lon,neigh_price,source,title
2015-01-04,48.3,3,27,9,2012,南,海淀区,zhongguancun,万柳书院,58245,2813272,665,0,39.96413124234762,116.28982749743649,59935,mock,万柳书院 3室3厅
2015-01-08,68.1,2,12,27,2002,南,海淀区,zhongguancun,美丽园,53812,3663060,402,0,39.96787484957696,116.27375822835975,60654,mock,美丽园 2室2厅
2015-01-12,96.3,3,20,7,2002,东南,海淀区,xierqi,紫金庄园,52713,5078580,612,0,39.93947652788582,116.29326955609284,54337,mock,紫金庄园 3室3厅
2015-01-19,86.6,4,18,10,2008,南北,海淀区,shangdi,华清嘉园,55861,4838273,100,0,39.95402196701008,116.30570014632033,55310,mock,华清嘉园 4室4厅
2015-01-21,90.1,1,6,9,2012,南北,海淀区,zhongguancun,万柳书院,74840,6739858,1101,0,39.95549595937501,116.25072375106934,77865,mock,万柳书院 1室1厅
2015-01-22,76.9,2,12,18,2002,西南,海淀区,shoujingmao,万柳书院,46911,3606092,204,0,39.92279993979282,116.3084253311305,44772,mock,万柳书院 2室2厅
2015-01-28,85.4,4,4,27,1998,东南,海淀区,zhongguancun,美丽园,62124,5307908,115,0,39.964309038331166,116.2983649299237,57939,mock,美丽园 4室4厅
2015-02-02,94.8,2,21,7,1998,东西,海淀区,shangdi,博雅西园,61993,5877355,338,0,39.954085550740274,116.28978044076851,55861,mock,博雅西园 2室2厅
2015-02-08,115.3,2,23,24,2008,北,海淀区,shoujingmao,万柳书院,60734,7004730,153,0,39.95755348258622,116.30315866489417,61717,mock,万柳书院 2室2厅
2015-02-15,112.3,2,22,21,2020,南,海淀区,xierqi,上地东里,67409,7572086,801,0,39.94999863589775,116.25845423662128,70524,mock,上地东里 2室2厅
2015-02-16,88.8,3,20,17,2015,东南,海淀区,zhongguancun,橡树湾,61443,5456727,100,0,39.92796472533458,116.30817221202685,54903,mock,橡树湾 3室3厅
2015-02-21,75.5,3,10,8,2015,东西,海淀区,shoujingmao,华清嘉园,52347,3954137,240,0,39.920966493112964,116.25702270436238,46306,mock,华清嘉园 3室3厅
2015-02-26,86.1,2,17,10,2012,东西,海淀区,zhongguancun,紫金庄园,64717,5572931,257,0,39.93550355887223,116.29911559382239,57318,mock,紫金庄园 2室2厅
2015-03-04,103.0,4,25,14,2012,东南,海淀区,zizhuyuan,当代城市家园,57267,5898352,1422,0,39.94798361704163,116.26832119281286,53678,mock,当代城市家园 4室4厅
2015-03-07,113.6,3,6,29,2015,北,海淀区,haidian,美丽园,50586,5745097,416,0,39.92770099559689,116.28901122998674,55946,mock,美丽园 3室3厅
2015-03-09,89.4,2,2,15,2020,南,海淀区,shoujingmao,观山园,58291,5214164,254,0,39.93904124501602,116.28735756164171,54400,mock,观山园 2室2厅
2015-03-10,63.0,3,10,18,2018,南北,海淀区,shangdi,万柳书院,50998,3213507,122,0,39.94138860025087,116.25976656606153,38040,mock,万柳书院 3室3厅
2015-03-13,100.8,2,20,20,2020,南北,海淀区,haidian,曙光花园,55134,5556184,227,0,39.92786727257099,116.2773218480737,48402,mock,曙光花园 2室2厅
2015-03-15,59.4,2,8,21,2012,东西,海淀区,zizhuyuan,华清嘉园,57194,3395920,492,0,39.929197769630925,116.30488510988553,52710,mock,华清嘉园 2室2厅
2015-03-17,75.3,1,9,28,2005,东西,海淀区,xierqi,上地东里,52008,3914090,1256,0,39.96060619426546,116.27895125697856,47742,mock,上地东里 1室1厅
2015-03-20,142.7,3,27,12,1998,南北,海淀区,xierqi,博雅西园,51882,7402482,772,0,39.94152534572128,116.28786702167353,51478,mock,博雅西园 3室3厅
2015-03-23,80.2,2,14,20,2020,南北,海淀区,haidian,博雅西园,54710,4389268,278,0,39.93401748581892,116.27457365563575,58180,mock,博雅西园 2室2厅
2015-04-01,92.2,2,6,13,2015,东西,海淀区,zizhuyuan,橡树湾,48319,4453849,306,0,39.93014749175865,116.26934698858264,54466,mock,橡树湾 2室2厅
2015-04-22,95.3,2,16,22,2005,东南,海淀区,zizhuyuan,博雅西园,51178,4879457,666,0,39.97014955567463,116.26993146198694,52173,mock,博雅西园 2室2厅
2015-04-25,96.9,1,16,18,2015,南北,海淀区,haidian,万城华府,58797,5694941,475,0,39.96594705756295,116.27647206613278,56021,mock,万城华府 1室1厅
2015-04-27,86.7,2,20,24,1998,东南,海淀区,balizhuang,世纪城,57799,5009228,796,0,39.97537761390791,116.27794200733913,53062,mock,世纪城 2室2厅
2015-05-02,167.5,2,4,30,2005,南北,海淀区,xierqi,观山园,52209,8742808,504,0,39.96235942417772,116.26405194358729,56487,mock,观山园 2室2厅
2015-05-12,90.3,4,15,15,2008,南北,海淀区,shangdi,观山园,67420,6086333,214,0,39.939616526015286,116.28640135939187,67830,mock,观山园 4室4厅
2015-05-17,107.7,3,21,8,2012,东南,海淀区,zizhuyuan,上地西里,48195,5190183,706,0,39.94093340450251,116.28129596376068,49616,mock,上地西里 3室3厅
2015-05-19,91.1,2,15,21,2005,东南,海淀区,wudaokou,紫金庄园,54337,4949946,928,0,39.93220836454986,116.25401841672152,52050,mock,紫金庄园 2室2厅
2015-05-27,132.7,1,3,20,2018,西南,海淀区,haidian,上地东里,57867,7677058,100,0,39.976431395869376,116.27385432126525,64112,mock,上地东里 1室1厅
2015-06-01,108.1,2,19,12,2005,北,海淀区,zizhuyuan,涧桥泊屋,61255,6623547,205,0,39.97307521329378,116.30373377088792,69992,mock,涧桥泊屋 2室2厅
2015-06-03,108.6,4,25,16,2002,北,海淀区,xierqi,紫金庄园,50836,5520716,391,0,39.96976310900855,116.2614202185057,51365,mock,紫金庄园 4室4厅
