date,area,rooms,floor,year_built,price_per_sqm,total_price,district,source
2015-01-09,87.1,3,13,2000,43543,3792848,海淀区,public_trend_based
2015-01-18,140.0,2,24,2015,53623,7508030,海淀区,public_trend_based
2015-01-02,109.4,2,24,2005,56569,6187573,海淀区,public_trend_based
2015-01-09,90.6,2,17,2005,53037,4803596,海淀区,public_trend_based
2015-01-14,125.4,3,14,2020,55499,6958619,海淀区,public_trend_based
2015-01-18,72.3,4,19,2015,63248,4575241,海淀区,public_trend_based
2015-01-09,66.7,3,18,2020,61224,4085268,海淀区,public_trend_based
2015-01-23,48.0,1,14,2020,44481,2134118,海淀区,public_trend_based
2015-01-15,99.5,2,5,1995,48972,4872401,海淀区,public_trend_based
2015-01-02,93.4,1,17,2010,51256,4785231,海淀区,public_trend_based
2015-01-04,58.0,1,21,2005,52999,3076503,海淀区,public_trend_based
2015-01-07,52.4,2,8,2000,48798,2554654,海淀区,public_trend_based
2015-01-05,91.1,2,12,2000,50231,4577518,海淀区,public_trend_based
2015-01-25,97.8,4,4,1995,46692,4564995,海淀区,public_trend_based
2015-01-17,102.9,3,20,2010,61004,6276928,海淀区,public_trend_based
2015-01-04,70.5,2,2,2015,42108,2970656,海淀区,public_trend_based
2015-01-11,52.5,3,11,2010,57133,2998152,海淀区,public_trend_based
2015-01-04,88.8,4,21,2020,58354,5181609,海淀区,public_trend_based
2015-01-11,64.6,2,19,1995,50173,3243230,海淀区,public_trend_based
2015-01-22,93.1,2,24,1995,47486,4422067,海淀区,public_trend_based
2015-01-12,104.0,2,9,1995,50117,5213964,海淀区,public_trend_based
2015-01-09,82.1,2,12,2015,52123,4277189,海淀区,public_trend_based
2015-01-09,97.6,2,20,1995,51626,5039415,海淀区,public_trend_based
2015-01-26,40.0,4,7,2010,56517,2260680,海淀区,public_trend_based
2015-01-22,72.9,3,11,2015,57368,4184212,海淀区,public_trend_based
2015-01-26,105.0,1,15,2020,47659,5006224,海淀区,public_trend_based
2015-01-24,116.4,2,24,2000,50052,5828157,海淀区,public_trend_based
2015-01-09,99.1,4,18,1995,49493,4902524,海淀区,public_trend_based
2015-01-16,78.0,2,19,2005,53659,4184909,海淀区,public_trend_based
2015-01-23,77.0,4,19,2015,58592,4514320,海淀区,public_trend_based
2015-01-18,83.3,1,8,1995,45948,3826865,海淀区,public_trend_based
2015-01-11,92.3,2,8,2010,46681,4309239,海淀区,public_trend_based
2015-01-07,78.4,3,6,2020,46428,3638177,海淀区,public_trend_based
2015-01-16,131.6,3,15,2015,53229,7006639,海淀区,public_trend_based
2015-01-11,108.2,2,8,2010,51202,5539364,海淀区,public_trend_based
2015-01-15,91.1,3,14,2010,58607,5337848,海淀区,public_trend_based
2015-01-24,80.9,3,14,2005,46290,3744339,海淀区,public_trend_based
2015-01-21,56.8,2,5,1995,41346,2346954,海淀区,public_trend_based
2015-01-26,92.1,2,1,2005,44995,4143290,海淀区,public_trend_based
2015-01-20,66.3,1,14,2005,48656,3225271,海淀区,public_trend_based
2015-01-18,102.0,1,12,2015,45835,4677294,海淀区,public_trend_based
2015-01-26,130.9,3,14,1995,44452,5817021,海淀区,public_trend_based
2015-01-21,101.7,1,23,2005,57596,5860062,海淀区,public_trend_based
2015-01-23,110.5,2,1,2005,42254,4670176,海淀区,public_trend_based
2015-01-11,92.2,3,5,2000,48031,4427978,海淀区,public_trend_based
2015-01-26,97.9,3,7,2015,48235,4723101,海淀区,public_trend_based
2015-01-07,103.9,3,23,2015,58913,6120294,海淀区,public_trend_based
2015-01-02,79.5,1,14,2020,50806,4040466,海淀区,public_trend_based
2015-01-16,128.9,3,1,1995,38506,4961856,海淀区,public_trend_based
2015-01-08,104.6,2,20,2000,39145,4092785,海淀区,public_trend_based
2015-01-19,78.9,2,12,2020,55968,4416535,海淀区,public_trend_based
2015-01-09,112.7,2,21,2005,46756,5271362,海淀区,public_trend_based
2015-01-27,70.6,3,11,2015,52313,3694014,海淀区,public_trend_based
2015-01-09,80.8,2,13,2020,48919,3952926,海淀区,public_trend_based
2015-01-25,56.5,1,22,2015,57688,3258669,海淀区,public_trend_based
2015-01-22,82.1,1,9,2020,55584,4561992,海淀区,public_trend_based
2015-01-23,110.5,2,3,2005,36692,4052979,海淀区,public_trend_based
2015-01-02,80.6,1,24,2000,37043,2986910,海淀区,public_trend_based
2015-01-25,138.4,2,1,2005,46091,6378545,海淀区,public_trend_based
2015-01-19,96.2,2,16,2020,55492,5340143,海淀区,public_trend_based
2015-01-22,123.3,3,4,2010,45163,5569049,海淀区,public_trend_based
2015-01-15,41.0,4,18,2010,50934,2088710,海淀区,public_trend_based
2015-01-11,92.2,3,16,2000,46470,4286598,海淀区,public_trend_based
2015-01-02,65.3,3,22,2020,51588,3369298,海淀区,public_trend_based
2015-01-15,103.0,2,10,2010,41093,4231431,海淀区,public_trend_based
2015-01-16,119.9,3,2,2000,44047,5281274,海淀区,public_trend_based
